Date,product_category_name,total_pedidos,ticket_medio,ticket_mediana,parcelas_media,parcelas_mediana,faturamento_total
2017-01-01,moveis_sala,6,154.65333333333334,151.99,3.0,3.0,927.92
2017-01-01,papelaria,5,246.53000000000003,294.9,4.2,1.0,1232.65
2017-01-01,pcs,1,2199.99,2199.99,10.0,10.0,2199.99
2017-01-01,perfumaria,22,189.80454545454543,99.9,4.954545454545454,4.0,4175.7
2017-01-01,pet_shop,6,122.87166666666667,137.45,3.6666666666666665,4.0,737.23
2017-01-01,relogios_presentes,10,770.7520000000001,360.975,4.9,4.5,7707.52
2017-01-01,seguros_e_servicos,1,183.29,183.29,1.0,1.0,183.29
2017-01-01,telefonia,14,191.82857142857142,34.945,4.214285714285714,4.5,2685.6
2017-01-01,telefonia_fixa,13,39.97692307692308,21.98,2.3076923076923075,1.0,519.7
2017-01-01,utilidades_domesticas,17,145.78176470588235,87.74,3.588235294117647,2.0,2478.29
2017-02-01,agro_industria_e_comercio,5,36.172000000000004,21.99,1.4,1.0,180.86
2017-02-01,alimentos,6,66.75166666666667,33.2,2.5,2.0,400.51
2017-02-01,audio,3,29.633333333333336,24.9,1.0,1.0,88.9
2017-02-01,automotivo,52,199.70038461538462,139.495,3.6538461538461537,3.0,10384.42
2017-02-01,bebes,24,104.6675,50.0,2.625,1.0,2512.02
2017-02-01,beleza_saude,115,170.02617391304346,89.0,3.4695652173913043,2.0,19553.01
2017-02-01,brinquedos,45,118.60422222222222,66.99,2.577777777777778,2.0,5337.19
2017-02-01,cama_mesa_banho,122,122.62983606557377,99.9,4.032786885245901,3.0,14960.84
2017-02-01,casa_conforto,3,138.22,94.76,5.666666666666667,8.0,414.66
2017-02-01,casa_construcao,3,231.86666666666667,186.9,5.0,4.0,695.6
2017-02-01,cine_foto,1,59.0,59.0,5.0,5.0,59.0
2017-02-01,climatizacao,9,218.3777777777778,187.9,4.777777777777778,4.0,1965.4
2017-02-01,consoles_games,10,234.27799999999996,189.9,4.0,4.0,2342.7799999999997
2017-02-01,construcao_ferramentas_construcao,1,36.99,36.99,5.0,5.0,36.99
2017-02-01,cool_stuff,46,198.66608695652172,119.99,4.043478260869565,2.0,9138.64
2017-02-01,dvds_blu_ray,1,14.9,14.9,2.0,2.0,14.9
2017-02-01,eletrodomesticos,7,105.84285714285714,115.0,1.1428571428571428,1.0,740.9
2017-02-01,eletrodomesticos_2,1,15.99,15.99,1.0,1.0,15.99
2017-02-01,eletronicos,11,90.9,55.0,4.0,3.0,999.9000000000001
2017-02-01,eletroportateis,18,320.555,176.95,4.833333333333333,4.0,5769.99
2017-02-01,esporte_lazer,105,125.61285714285715,82.99,2.9523809523809526,1.0,13189.35
2017-02-01,fashion_bolsas_e_acessorios,28,74.12392857142856,49.9,2.8214285714285716,2.0,2075.47
2017-02-01,fashion_calcados,1,37.25,37.25,1.0,1.0,37.25
2017-02-01,fashion_roupa_feminina,3,121.3,119.0,5.333333333333333,4.0,363.9
2017-02-01,fashion_roupa_masculina,5,103.60999999999999,96.9,2.8,3.0,518.05
2017-02-01,fashion_underwear_e_moda_praia,4,73.49249999999999,61.489999999999995,3.0,2.5,293.96999999999997
2017-02-01,ferramentas_jardim,43,217.17790697674417,99.99,3.7209302325581395,3.0,9338.65
2017-02-01,industria_comercio_e_negocios,1,119.0,119.0,4.0,4.0,119.0
2017-02-01,informatica_acessorios,67,148.24,46.86,2.4776119402985075,1.0,9932.08
2017-02-01,instrumentos_musicais,5,121.73200000000001,65.9,5.6,5.0,608.6600000000001
2017-02-01,livros_importados,1,99.0,99.0,5.0,5.0,99.0
2017-02-01,livros_interesse_geral,7,93.95857142857143,109.9,3.0,2.0,657.71
2017-02-01,livros_tecnicos,1,159.0,159.0,1.0,1.0,159.0
2017-02-01,malas_acessorios,19,86.22526315789473,55.9,3.473684210526316,3.0,1638.28
2017-02-01,market_place,11,112.57181818181817,76.9,2.4545454545454546,1.0,1238.29
2017-02-01,moveis_cozinha_area_de_servico_jantar_e_jardim,2,69.95,69.95,3.0,3.0,139.9
2017-02-01,moveis_decoracao,172,101.82866279069766,74.9,3.5813953488372094,2.0,17514.53
2017-02-01,moveis_escritorio,43,260.2420930232558,149.96,4.488372093023256,4.0,11190.41
2017-02-01,moveis_quarto,1,450.0,450.0,1.0,1.0,450.0
2017-02-01,moveis_sala,12,227.8166666666667,162.945,5.166666666666667,3.5,2733.8
2017-02-01,papelaria,16,118.30625,94.9,2.875,3.0,1892.9
2017-02-01,pcs,1,3549.0,3549.0,1.0,1.0,3549.0
2017-02-01,perfumaria,38,191.34421052631578,124.85,4.2368421052631575,3.5,7271.08
2017-02-01,pet_shop,31,109.01064516129033,79.5,3.064516129032258,2.0,3379.33
2017-02-01,relogios_presentes,29,381.01689655172413,234.8,4.896551724137931,4.0,11049.49
2017-02-01,tablets_impressao_imagem,8,99.0,99.0,3.375,1.0,792.0
2017-02-01,telefonia,69,75.0731884057971,29.99,2.6956521739130435,1.0,5180.05
2017-02-01,telefonia_fixa,15,45.696000000000005,19.99,2.3333333333333335,2.0,685.44
2017-02-01,utilidades_domesticas,53,210.9466037735849,48.6,3.1320754716981134,2.0,11180.17
2017-03-01,agro_industria_e_comercio,1,22.0,22.0,2.0,2.0,22.0
2017-03-01,alimentos,16,122.53375,149.9,4.875,3.0,1960.54
2017-03-01,alimentos_bebidas,4,18.325,20.9,2.5,3.0,73.3
2017-03-01,artes,4,28.4125,28.0,2.75,2.0,113.65
2017-03-01,audio,9,88.54222222222222,79.0,1.8888888888888888,1.0,796.88
2017-03-01,automotivo,58,189.54431034482758,135.4,3.5,2.0,10993.57
2017-03-01,bebes,33,91.14606060606062,77.0,3.1515151515151514,2.0,3007.82
2017-03-01,bebidas,4,121.9675,141.95,5.5,4.5,487.87
2017-03-01,beleza_saude,148,148.13445945945946,89.85,3.75,3.0,21923.9
2017-03-01,brinquedos,70,148.89257142857142,96.39500000000001,3.3714285714285714,2.5,10422.48
2017-03-01,cama_mesa_banho,193,114.76497409326424,89.9,3.9585492227979273,3.0,22149.64
2017-03-01,casa_conforto,5,266.58000000000004,249.0,5.8,4.0,1332.9
2017-03-01,casa_conforto_2,2,61.445,61.445,4.0,4.0,122.89
2017-03-01,casa_construcao,3,117.99333333333334,139.99,4.0,2.0,353.98
2017-03-01,climatizacao,11,374.4736363636364,169.9,3.727272727272727,3.0,4119.21
2017-03-01,consoles_games,36,234.35333333333332,214.75,4.361111111111111,3.5,8436.72
2017-03-01,construcao_ferramentas_construcao,4,193.35,212.25,4.75,4.0,773.4
2017-03-01,construcao_ferramentas_seguranca,2,190.0,190.0,6.0,6.0,380.0
2017-03-01,cool_stuff,92,191.36293478260868,99.99,3.108695652173913,2.0,17605.39
2017-03-01,dvds_blu_ray,4,468.425,219.4,3.75,2.0,1873.7
2017-03-01,eletrodomesticos,6,35.1,32.9,3.0,1.5,210.6
2017-03-01,eletrodomesticos_2,1,487.0,487.0,1.0,1.0,487.0
2017-03-01,eletronicos,25,143.53719999999998,55.0,2.68,1.0,3588.43
2017-03-01,eletroportateis,25,400.60760000000005,109.9,5.24,6.0,10015.19
2017-03-01,esporte_lazer,133,140.07390977443612,90.5,3.037593984962406,2.0,18629.83
2017-03-01,fashion_bolsas_e_acessorios,41,84.68707317073171,59.9,3.073170731707317,2.0,3472.17
2017-03-01,fashion_calcados,8,149.075,178.8,4.75,5.5,1192.6
2017-03-01,fashion_esporte,1,39.9,39.9,5.0,5.0,39.9
2017-03-01,fashion_roupa_feminina,1,19.9,19.9,1.0,1.0,19.9
2017-03-01,fashion_roupa_masculina,3,104.90000000000002,99.9,2.6666666666666665,1.0,314.70000000000005
2017-03-01,fashion_underwear_e_moda_praia,4,75.4975,51.5,2.0,1.5,301.99
2017-03-01,ferramentas_jardim,93,204.39247311827958,69.9,3.6021505376344085,2.0,19008.5
2017-03-01,industria_comercio_e_negocios,1,119.0,119.0,4.0,4.0,119.0
2017-03-01,informatica_acessorios,101,211.60039603960396,75.0,3.4653465346534653,2.0,21371.64
2017-03-01,instrumentos_musicais,4,238.97,223.945,4.5,3.5,955.88
2017-03-01,livros_interesse_geral,15,129.004,115.0,2.1333333333333333,2.0,1935.06
2017-03-01,livros_tecnicos,1,45.0,45.0,1.0,1.0,45.0
2017-03-01,malas_acessorios,29,169.8106896551724,139.9,3.7241379310344827,3.0,4924.51
2017-03-01,market_place,12,118.59083333333335,89.45,3.4166666666666665,3.0,1423.0900000000001
2017-03-01,moveis_cozinha_area_de_servico_jantar_e_jardim,2,32.99,32.99,4.5,4.5,65.98
2017-03-01,moveis_decoracao,207,91.86753623188406,63.98,3.536231884057971,3.0,19016.58
2017-03-01,moveis_escritorio,49,207.10653061224488,173.92,4.714285714285714,4.0,10148.22
2017-03-01,moveis_sala,15,207.94,139.9,6.0,6.0,3119.1
